Filename,Sanat
,
sandstorm,"Du du du du duu,
Duu du du du du duu,
..."
skrillexin_mökkitie,"Mö mö mö mökki mökki mökki mökki mökkitie
Mö mö mö mökki mökki mökki mökki mökkitie
Mö mö mö mökki mökki mökki mökki mökkitie "
pohjois_karjalaan,"Minä halusin tavata Annelin
sillä tiesin sen minua vielä etsivän
eihän elämä paljoa antanut
sateenkaari päättyi nakkikioskille
ravintolapöytään oksentaville naurettiin

Dam-dididam-dididam-dididamdamdamdam-dam
Dididam-dididam-dididamdamdamdam-dam

Minä lähden Pohjois-Karjalaan
vaihdan farkut verkkarihousuun
kotiseudulle Pohjois-Karjalaan
juon kaljaa auringon nousuun

Sivukujilla elämän kulkien
toivon onneni jostain vielä löytyvän
enhän minäkään liikoja vaatisi
jotakin jolla tarjoaisin illan
elatusmaksut lottokupongilla kuittaisin

Dam-dididam-dididam-dididamdamdamdam-dam
Dididam-dididam-dididamdamdamdam-dam

Minä lähden...

Vaikka elämän sävelen hukkasin
oman onneni sirpaleita säilytän
sillä sinua kaltoin jos kohtelin
olisin voinut vaikeampi olla
yritin silti aina sovinnolla kuitenkin

Dam-dididam-dididam-dididamdamdamdam-dam
Dam-dididam-dididam-dididamdamdamdam-dam

Minä lähden...
Minä lähden...

Tyttöni Pohjois-Karjalan

"
all_star,"Somebody once told me the world is gonna roll me
I ain't the sharpest tool in the shed
She was looking kind of dumb with her finger and her thumb
In the shape of an ""L"" on her forehead

Well the years start coming and they don't stop coming
Fed to the rules and I hit the ground running
Didn't make sense not to live for fun
Your brain gets smart but your head gets dumb
So much to do, so much to see
So what's wrong with taking the back streets?
You'll never know if you don't go
You'll never shine if you don't glow

Hey now, you're an all-star...

It's a cool place and they say it gets colder
You're bundled up now, wait till you get older
But the meteor men beg to differ
Judging by the hole in the satellite picture
The ice we skate is getting pretty thin
The water's getting warm so you might as well swim
My world's on fire, how about yours?
That's the way I like it and I never get bored

Hey now, you're an all-star...

Hey now, you're an all-star...

"
tieto_-_value_for_life,"No option for Duality,
The old is where we come,
Clock speed is fast but we'll survive,
The new will overcome

We are challengers, not followers,
We take the ball to build,
Easy, safe services are here to stay

Value for society,
Value for life,
For you and me,
Tieto is here alright

Real heros are the ones,
who keep us safe,
Life without worries or hate,
You and me in safe place

Analytics, machine learning, security needs,
Start-up culture, everywhere,
Winners take it all

Value for society...

Smart city is the place,
to get a happy life,
Young and old, everybody,
Healthy active life

Soon buildings think themselves,
Cars drive on their own,
Robots help us everywhere,
It's coming to your door

SOTE reform, new counties,
Citizen at the center,
Digital is the way,
better outcomes for all

Empathy respectfully,
customers and us,
Experience quides our way,
Emotions find the best

Value for society..."
a_finnish_drinking_song,Now
viinaa_vetta,"Viinaa, vettä
-mitä perkelettä?
Viinaa, raakaa,
napaan kaatakaa,
Napaan kaatakaa!

Brännvin, vatten
smakar skit som katten.
Brännvin, helt rått,
smakar jävligt gott!
Smakar jävligt gott!"
nocturne,"Ruislinnun laulu korvissani,
tähkäpäiden päällä täysi kuu;
kesäyön on onni omanani,
kaskisavuun laaksot verhouu.
En ma iloitse, en sure, huokaa;
mutta metsän tummuus mulle tuokaa,
puunto pilven, johon päivä hukkuu,
siinto vaaran tuulisen, mi nukkuu,
tuoksut vanamon ja varjon veen;
niistä sydämeni laulun teen.

Sulle laulan neiti, kesäheinä,
sydämeni suuri hiljaisuus,
uskontoni, soipa säveleinä,
tammenlehvä-seppel vehryt, uus.
En ma enää aja virvatulta,
omani on Hiiden vuoren kulta;
pienentyy mun ympär' elon piiri;
aika seisoo, nukkuu tuuliviiri;
edessäni hämäräinen tie
tuntemattomahan tupaan vie."
kun_mä_kuolen,":,: Kun mä kuolen vanhan piippuni sä saat. :,:
Noilla taivaan kessumailla en oo piippuani vailla.
Kun mä kuolen vanhan piippuni sä saat.

...sateenvarjoni sä saat...
Sillä onhan selvää, että pilven pääll' ei sada vettä.
Kun mä kuolen sateenvarjoni sä saat.

...vanhan heilani sä saat...
Sen voin jättää ihanuuden, kun saan enkelistä uuden.
Kun mä kuolen vanhan heilani sä saat.

...vanhat kalossini saat...
Taivaassa on hyvät kelit, monenlaiset ajopelit.
Kun mä kuolen vanhat kalossini saat.

...vanhan hetekani saat...
Sen kun pääsen natinasta, olen onnellinen vasta.
Kun mä kuolen vanhan hetekani saat.

...vanhan anoppini saat...
Sen, kun pääsen narinasta, olen onnellinen vasta.
Kun mä kuolen vanhan anoppini saat.

...vanhan kitarani saat...
Taivahassa, hyvä veli, pasuuna on muotipeli
Kun mä kuolen vanhan kitarani saat.

...partasutini sä saat...
Enkeleill' on partasuti, joka sanoo kitikuti.
Kun mä kuolen partasutini sä saat.

...vanhan pottanikin saat...
Taivaassa ei tarvis säästää, sen kuin pilven päältä päästää.
Kun mä kuolen vanhan pottanikin saat.

...vessapaperini saat...
Sil taivaass' ei tuu kakkaa, siellä aineenvaihto lakkaa.
Kun mä kuolen vessapaperini saat.

...taskumattini sä saat...
Sillä taivaassa kun juodaan, siellä ämpärillä tuodaan.
Kun mä kuolen taskumattini sä saat.

...snapsilasini sä saat...
Sillä taivaan kapakoissa snapsit tuodaan kolpakoista.
Kun mä kuolen snapsilasini sä saat.

...pullo arkkuun laittakaa...
Sillä elo ilman viinaa ompi taivaassakin piinaa.
Kun mä kuolen arkkuun pullo laittakaa.

...asekätköni sä saat...
Se on tuolla ladon alla, kolmas kivi vasemmalta.
Kun mä kuolen asekätköni sä saat.

...taxamittarini saat...
Sillä taivaass' ei oo taxaa, enkeleill' ei tarvii maksaa
Kun mä kuolen taxamittarini saat.

...vanhan puukkoni sä saat...
Sillä enkeleill' on nixi, heiltä puuttuu appendixi.
Kun mä kuolen vanhan puukkoni sä saat.

...tuttipulloni sä saat...
Sillä rintamaito varmaan riittää päällä pilven harmaan.
Kun mä kuolen tuttipulloni sä saat.

...umpisuoleni sä saat...
Leikkaamatta jäis' se muuten, taivaass' kirurgeist' on puute.
Kun mä kuolen umpisuoleni sä saat.

...peräsuoleni sä saat...
Sillä ääntä aivan toista lähtee taivaan pasuunoista.
Kun mä kuolen peräsuoleni sä saat.

...virtsarakkoni sä saat...
Taivaan olutta voi juoda, eikä rakko yli vuoda
Kun mä kuolen virtsarakkoni sä saat.

...rintaliivini sä saat...
Sillä rinnat taivahaiset eivät riipu niinkuin maiset.
Kun mä kuolen rintaliivini sä saat.

...Kun mä kuolen varmuusesineeni saat...
Sillä taivaassa ei panna, koska enkelit ei anna.
Kun mä kuolen varmuusesineeni saat.

...e-pillerini saat...
Sillä taivaass' ei oo vaaraa vaikka kuinka panet Saaraa.
Kun mä kuolen e-pillerini saat.

...laskutikkuni sä saat...
Einstein tähtein tuolla puolen pitää laskuistani huolen.
Kun mä kuolen laskutikkuni sä saat.

...anorakkini sä saat...
Taivaass' ollaan kehä päällä eikä huppu niin kuin täällä.
Kun mä kuolen anorakkini sä saat.

...hiihtohousuni sä saat...
Taivass' niit' en jalkaan laita, siellä riittää pelkkä paita.
Kun mä kuolen hiihtohousuni sä saat.

...hiihtorukkaseni saat...
Treenaan harpun soittamista - kiusa siinä rukkasista.
Kun mä kuolen hiihtorukkaseni saat.

...banjoni sä saat...
Jos sä ostat mulle arkun, ett' saan taivaass' uuden harpun.
Kun mä kuolen vanhan banjoni sä saat.

...korttipakkani sä saat...
Sillä enkelit ei rokkaa, eikä myöskään pelaa pokkaa.
Kun mä kuolen korttipakkani sä saat.

...kaikki tupakkani saat...
Sillä luona taivaan portin tarjoo Pietar' mulle nortin.
Kun mä kuolen kaikki tupakkani saat.

...vanhat kalsarini saat...
Kun sä katsot niitä tarkkaan näet niistä monta karttaa.
Kun mä kuolen vanhat kalsarini saat.

...vanhat pihtini sä saat...
Sillä taivahassa voidaan pinseteillä ekstrahoida.
Kun mä kuolen vanhat pihtini sä saat.

...paljon leikata kai saan...
Taivaan isä pitää huolen, potilaat ei käsiin kuole.
Kun mä kuolen paljon leikata kai saan.

...antibioottini saat...
Taivaass' bakteerit ei idä, peljätä ei niitä pidä.
Kun mä kuolen antibioottini saat.

...punalippuni sä saat...
Vaikka porvarina elin taivaassa oottaa Lenin.
Kun mä kuolen punalippuni sä saat.

:,: Vi blir alla kommunister när vi dör :,:
För i stora himmelsalen sjunges Internationalen.
Vi blir alla kommunister när vi dör.

:,: Du skall få min gamla cyckel när jag dör. :,:
Ty den sista kilometern kör jag tandem med St. Peter.
Du skall få min gamla cyckel när jag dör.

:,: Du skall få min Simpsons regel när jag dör. :,:
För i himlen Sankte Peter blott använder planimeter.
Du skall få min Simpsons regel när jag dör.

:,: Du skall få min dubbla botten när jag dör. :,:
När mot himlens port jag vankar, går jag helt med andra tankar.
Du skall få min dubbla botten när jag dör.

:,: Sunda barn kan alltid ta ännu en tår. :,:
Må vårt sundhet alltid stråla, må vi alltid kunna SKÅLa.
Sunda barn kan alltid ta ännu en tår.

:,: Gute Kinder trinken immer bissel mehr. :,:
Es kann nie genug empfohlen werden noch einmal zu SKÅLen.
Gute Kinder trinken immer bissel mehr.

:,: Healthy babies always drink a little more. :,:
It's a vital instinct calling every time we find us SKÅLing.
Healthy babies always drink a little more.

:,: Sing it hai hai, juppi juppi hai, :,:
Sing it hai hai, juppi juppi, hai hai, juppi juppi,
Hai hai, juppi juppi hai."
